district,forecast_rows,total_actual_m3,total_error_m3,covered_rows,wape,coverage_pct
Unknown,1519,1406.45,696.9805957588865,353,0.49556016620490345,23.23897300855826
Аларский район,4515,879.75,443.15008216068793,432,0.5037227418706314,9.56810631229236
Ангарский ГО,26264,15387.2,3835.4367565959387,8068,0.24926151324451093,30.718854706061528
Балаганский район,1274,111.75,74.31562853410902,50,0.6650168101486266,3.924646781789639
Баяндаевский район,1904,424.5,202.40671090887844,164,0.476812039832458,8.61344537815126
Бодайбинский район,1673,878.5,300.11053756111437,432,0.3416170034844785,25.82187686790197
Боханский район,1477,612.06,241.57645727040816,283,0.39469407781983495,19.16046039268788
Жигаловский район,1435,468.0,98.88923135542096,406,0.21130177640047215,28.292682926829265
Заларинский район,3269,965.25,341.1510622773148,570,0.35343285395215207,17.43652493117161
Зиминский район,6013,3511.2,1060.6135279605996,2034,0.3020658259172362,33.826708797605185
Иркутский район,12880,18097.13,6055.811270898352,4201,0.33462826817834385,32.61645962732919
Казачинско-Ленский район,2289,1168.35,457.26022976818933,784,0.3913726449849697,34.25076452599388
Качугский район,1813,404.25,180.6933243592731,214,0.4469841047848438,11.803640375068946
Куйтунский район,2149,1004.85,452.58767375661415,443,0.45040321814859346,20.614239181014426
Левый берег,21070,36245.97,9628.798301576775,9434,0.26565155523708633,44.77456098718557
МО Саянск,1407,2511.75,374.4838353540717,726,0.14909279799107064,51.59914712153518
Нукутский район,1204,477.75,187.9867514604526,183,0.39348351954045546,15.199335548172757
Ольхонский район,1246,525.0,291.54577950218294,231,0.5553252942898723,18.53932584269663
Осинский район,2730,810.75,345.4188449345842,505,0.4260485290589999,18.4981684981685
Правый берег,17171,28350.74,6531.067912444762,8353,0.2303667527706424,48.6459728612195
Слюдянский район,4970,2901.35,1156.6569479452394,1633,0.3986616395626999,32.857142857142854
Тулунский район,7784,4825.91,1566.4621175031425,1889,0.3245941423489337,24.267728674203497
Усольский район,8750,9904.4,3517.2717745112323,3026,0.3551221451588418,34.582857142857144
Усть-Удинский район,1232,369.0,186.03844100239576,228,0.5041692168086606,18.506493506493506
Черемховский район,14119,4919.65,1746.904316945031,2011,0.3550871132997329,14.24321835824067
Шелеховский район,3801,6439.26,2204.296722683999,1564,0.3423214348673604,41.1470665614312
Эхирит-Булагатский район,2464,1274.0,635.2492637701934,480,0.4986257957379854,19.480519480519483
