window_days,min_obs,bias_pct,wape_pct,runtime_seconds
56,2,-22.412264989038704,37.22334930751892,63.80804800987244
56,3,-22.45246818184939,37.18110395158726,66.21933507919312
56,4,-22.414231451345838,37.21377469590589,66.27985000610352
56,5,-22.410783279070852,37.2104165040901,64.20212697982788
56,6,-22.396934732368653,37.19673537518116,63.993048906326294
63,2,-22.438124273983565,37.09844859714529,65.10908007621765
63,3,-22.43783072793056,37.098155051092256,69.82771301269531
63,4,-22.47516642288064,37.061163584630826,68.16294193267822
63,5,-22.438575571054827,37.09101492913407,65.3971791267395
63,6,-22.432089076770357,37.08454328440002,66.93537783622742
70,2,-22.37362342950768,37.03304306825308,68.48333477973938
70,3,-22.373557857464007,37.03294089013811,79.97117781639099
70,4,-22.373143411262156,37.03253037877696,81.34833884239197
70,5,-22.398002322892975,37.00675351428161,71.21395587921143
70,6,-22.372190257625572,37.02587909689992,83.96642518043518
77,2,-22.40981511411611,36.97211605082994,75.79931592941284
77,3,-22.409716746904802,36.97201895404059,69.64743900299072
77,4,-22.409402236040943,36.97170350624052,71.06946611404419
77,5,-22.408871285627434,36.971172555826996,70.15757513046265
77,6,-22.425069078750074,36.95160460693052,71.60237383842468
84,2,-22.65694955619379,36.973159568447436,70.68810701370239
84,3,-22.656944457501744,36.97315446975543,71.51593589782715
84,4,-22.656744473319314,36.97294303872097,72.00245976448059
84,5,-22.656503555444942,36.97271042950304,71.29108309745789
84,6,-22.65577607363634,36.97198294769445,68.52912998199463
91,2,-22.692168283954246,36.959478301991176,73.62213516235352
91,3,-22.692009738184417,36.95931975622137,81.63850283622742
91,4,-22.691973247262666,36.95928326529961,74.56131505966187
91,5,-22.691855702658106,36.959141329590764,83.2925078868866
91,6,-22.69129185540431,36.958585296877004,89.76782274246216
98,2,-22.84304126839438,36.976766954206994,85.39577770233154
98,3,-22.843000860776627,36.97672654658925,86.47887420654297
98,4,-22.842973016601576,36.9766987024142,88.30909490585327
98,5,-22.842811107933727,36.976536793746355,91.90216207504272
98,6,-22.84238598516394,36.97610704676105,87.39349603652954
105,2,-22.964336385863383,37.00651859568005,88.31920313835144
105,3,-22.964334202496126,37.00651641231279,87.02446627616882
105,4,-22.964341970592013,37.0065241804087,79.03290295600891
105,5,-22.96419679075265,37.006379000569304,77.23319387435913
105,6,-22.964055292382163,37.006237502198836,80.50825905799866
112,2,-23.01234347838641,37.00410933629683,77.23959517478943
112,3,-23.0123394657795,37.00410532368992,75.2013430595398
112,4,-23.012331431612516,37.00409728952294,75.71275496482849
112,5,-23.012301289269473,37.004067147179896,74.79483580589294
112,6,-23.012175515730203,37.0039413736406,74.22555303573608
