site_id,date,delta_m3
38109910,2025-07-12,66.70748299319735
38109910,2025-06-28,66.70748299319735
38109910,2025-07-05,66.70748299319735
38109910,2025-06-07,66.70748299319729
38109910,2025-06-21,66.70748299319723
38109910,2025-06-14,66.70748299319723
38109910,2025-10-11,66.70748299319712
38109910,2025-08-16,66.70748299319712
38109910,2025-11-01,66.70748299319712
38109910,2025-12-06,66.70748299319712
38109910,2025-08-23,66.70748299319712
38109910,2025-09-06,66.70748299319712
38109910,2025-10-18,66.70748299319712
38109910,2025-08-02,66.70748299319712
38109910,2025-10-04,66.70748299319712
38109910,2025-07-26,66.70748299319712
38109910,2025-10-25,66.70748299319712
38109910,2025-12-13,66.70748299319712
38109910,2025-11-22,66.70748299319712
38109910,2025-09-20,66.70748299319712
38109910,2025-11-15,66.70748299319712
38109910,2025-09-13,66.70748299319712
38109910,2025-12-27,66.70748299319712
38109910,2025-12-20,66.70748299319712
38109910,2025-08-09,66.70748299319712
38109910,2025-11-08,66.70748299319712
38109910,2025-07-19,66.70748299319712
38109910,2025-08-30,66.70748299319712
38109910,2025-11-29,66.70748299319712
38109910,2025-09-27,66.70748299319712
38109910,2025-09-15,57.917602040816746
38109910,2025-11-10,57.917602040816746
38109910,2025-10-13,57.917602040816746
38109910,2025-09-08,57.917602040816746
38109910,2025-09-29,57.917602040816746
38109910,2025-10-20,57.917602040816746
38109910,2025-09-01,57.917602040816746
38109910,2025-10-06,57.917602040816746
38109910,2025-11-03,57.917602040816746
38109910,2025-09-22,57.917602040816746
38109910,2025-11-17,57.917602040816746
38109910,2025-10-27,57.917602040816746
38109910,2025-06-09,57.91760204081635
38109910,2025-06-02,57.91760204081633
38109910,2025-07-28,57.91760204081629
38109910,2025-06-23,57.91760204081629
38109910,2025-06-30,57.91760204081629
38109910,2025-08-25,57.91760204081629
38109910,2025-07-07,57.91760204081629
38109910,2025-08-11,57.91760204081629
38109910,2025-08-18,57.91760204081629
38109910,2025-06-16,57.91760204081629
38109910,2025-07-14,57.91760204081629
38109910,2025-07-21,57.91760204081629
38109910,2025-08-04,57.91760204081629
38109910,2025-12-01,57.91760204081584
38109910,2025-12-22,57.91760204081584
38109910,2025-12-08,57.91760204081584
38109910,2025-12-29,57.91760204081584
38109910,2025-12-15,57.91760204081584
38109910,2025-11-24,57.91760204081584
38109910,2025-08-17,56.0931972789117
38109910,2025-07-27,56.0931972789117
38109910,2025-08-10,56.0931972789117
38109910,2025-07-20,56.0931972789117
38109910,2025-08-03,56.0931972789117
38109910,2025-08-24,56.0931972789117
38109910,2025-06-08,56.09319727891159
38109910,2025-06-15,56.09319727891159
38109910,2025-06-01,56.09319727891157
38109910,2025-07-13,56.093197278911475
38109910,2025-07-06,56.093197278911475
38109910,2025-06-29,56.093197278911475
38109910,2025-06-22,56.093197278911475
38109910,2025-09-28,56.09319727891125
38109910,2025-09-14,56.09319727891125
38109910,2025-11-16,56.09319727891125
38109910,2025-11-02,56.09319727891125
38109910,2025-10-05,56.09319727891125
38109910,2025-11-09,56.09319727891125
38109910,2025-12-07,56.09319727891125
38109910,2025-12-21,56.09319727891125
38109910,2025-08-31,56.09319727891125
38109910,2025-09-07,56.09319727891125
38109910,2025-11-23,56.09319727891125
38109910,2025-12-14,56.09319727891125
38109910,2025-10-26,56.09319727891125
38109910,2025-12-28,56.09319727891125
38109910,2025-10-12,56.09319727891125
38109910,2025-11-30,56.09319727891125
38109910,2025-10-19,56.09319727891125
38109910,2025-09-21,56.09319727891125
38109910,2025-12-04,52.57831632653142
38109910,2025-12-11,52.57831632653142
38109910,2025-12-25,52.57831632653142
38109910,2025-12-18,52.57831632653142
38109910,2025-11-27,52.57831632653142
38109910,2025-06-05,52.578316326530626
38109910,2025-06-19,52.578316326530626
38109910,2025-06-12,52.57831632653057
