site_id,actual_total,abs_err_baseline,abs_err_spike_gate,delta_abs_err,wape_baseline,wape_spike_gate
38113066,1685.0,404.675,1890.273731,1485.598731,0.240163,1.121824
38105805,1267.1,56.937778,1396.471112,1339.533334,0.044936,1.1021
38101499,2046.2,595.3,1900.784592,1305.484592,0.29093,0.928934
38101351,939.4,76.098889,1053.285558,977.186669,0.081008,1.121232
38122834,962.0,230.311111,1146.357231,916.04612,0.239409,1.19164
38100968,855.65,63.925,977.198331,913.273331,0.074709,1.142054
38101412,810.9,42.473333,914.91333,872.439997,0.052378,1.128269
38101047,812.9,120.883333,992.027777,871.144444,0.148706,1.220356
38107040,798.25,133.775,955.925006,822.150006,0.167585,1.197526
38105363,897.25,286.625,1043.323775,756.698775,0.319448,1.162802
38102097,735.1,121.49,863.210006,741.720006,0.16527,1.174276
38110990,1355.25,1629.725,2365.108335,735.383335,1.202527,1.745145
38105270,1719.2,704.728889,1423.670419,718.94153,0.409917,0.828101
38101632,628.95,6.38,718.48,712.1,0.010144,1.142348
38105970,854.95,196.645,890.44278,693.79778,0.230008,1.041514
38101912,664.6,174.393333,863.406668,689.013335,0.262403,1.299137
38101271,808.8,194.127778,869.961112,675.833334,0.24002,1.07562
38103513,872.9,276.641111,937.414563,660.773452,0.316922,1.073908
38105438,590.0,32.666667,686.444447,653.77778,0.055367,1.163465
38104600,978.1,302.72,950.667044,647.947044,0.309498,0.971953
