district,n_sites,weighted_wape,share_bad_sites,total_volume,median_wape,p90_wape
Аларский район,663.0,2.832506561488399,0.1689291101055807,30748.713591000003,1.1880291986723577,7.894707555555568
Ангарский ГО,3770.0,1.4032893127054216,0.13262599469496023,340380.34993200004,0.8566514166666654,6.943051881212126
Балаганский район,178.0,3.201400647362064,0.21910112359550563,6600.200321,0.9807664830810876,10.05564723838385
Баяндаевский район,282.0,3.327017204501309,0.1879432624113475,14936.505714000003,1.3610453422042101,8.854000962170524
Бодайбинский район,249.0,1.9324100667640143,0.25301204819277107,21658.321419,1.0476476651982383,16.488952373333355
Боханский район,208.0,1.7966812142919537,0.19230769230769232,17946.226527,0.9479163513334331,12.11672252222222
Жигаловский район,204.0,3.8776540976659857,0.3235294117647059,10828.709889999998,1.304097090909092,16.97057374333337
Заларинский район,465.0,1.8502123093584424,0.12473118279569892,22936.153511,0.851473841269839,6.626636444444451
Зиминский район,862.0,1.4634776384675932,0.12412993039443156,79659.301355,0.8824820090691583,7.278736363383822
Иркутский район,1830.0,1.26963510160406,0.20163934426229507,425775.002494,0.9484846611840986,16.622812180000032
Казачинско-Ленский район,320.0,1.9393334795104935,0.18125,25701.148932000004,0.98376796763665,12.034523766666691
Качугский район,267.0,3.762952157687099,0.22846441947565543,12732.477696000002,0.9232367149758457,12.639329591752603
Куйтунский район,305.0,2.084366785721859,0.16065573770491803,23384.667131000002,0.8757113043478254,11.854381493333335
Левый берег,2955.0,1.446126997043836,0.1736040609137056,737490.2930989999,0.9333077745728867,11.45813875238096
МО Саянск,201.0,1.0529374540501106,0.18407960199004975,52419.60053900001,0.9186680965956732,11.272727272727233
Нукутский район,174.0,3.351794452940364,0.13793103448275862,12428.284795000003,0.8806149047619043,9.140424964102586
Ольхонский район,206.0,2.030016626609592,0.23300970873786409,24389.18478499999,0.9029817721051769,12.64889533333333
Осинский район,396.0,2.428518206585995,0.1893939393939394,27864.231418,0.8972040480258601,13.909806796296284
Правый берег,2419.0,1.3837435648560925,0.17734601074824308,576225.8531519999,0.9392059444182753,11.1883771406703
Слюдянский район,712.0,2.5971684724378394,0.22752808988764045,65331.359129,0.9806225592760587,15.52065980865798
Тулунский район,1090.0,2.0587129769891717,0.20458715596330276,106616.96720300001,0.946571797440514,12.916651693333348
Усольский район,1257.0,1.5329294792945576,0.22195704057279236,225281.67703400002,0.9573956008492579,15.775216945454607
Усть-Удинский район,178.0,1.662466865289535,0.16292134831460675,8430.624882000002,0.9062339871296206,7.280175620746358
Черемховский район,1883.0,1.8893455445380398,0.1577270313329793,122895.25333499999,0.943888888888888,8.885251321668322
Шелеховский район,551.0,1.2374670759926116,0.16696914700544466,142954.24859799998,0.9373776621787026,13.307290511627878
Эхирит-Булагатский район,362.0,1.7042242653741413,0.2569060773480663,37495.352436,0.9900731971942367,22.598722213333332
