decile,n_sites,mean_forecast_total,median_WAPE,p90_WAPE
1,2223,6.749120284300492,5.473214222222211,48.83317451999987
2,2223,14.247013199730105,3.8876713333333295,38.167636681481454
3,2223,19.98114242375169,1.3544293333333313,16.23407538286893
4,2223,30.707039141250572,0.851191023809525,10.062785947474762
5,2223,39.46889882006298,0.8555386467661688,7.743860668210158
6,2223,55.54621457264957,0.8354978383838393,6.266679102594144
7,2223,81.08353406387764,0.8308045751633977,3.674586420805768
8,2223,124.71876183490777,0.8346906565656578,2.2998189594612866
9,2223,246.27768798380566,0.8703385488621163,1.1361658807063455
10,2223,823.7003005209176,0.9147142249669166,0.9890965025996689
