file,scenarios,steps
features/integration/api-client.feature,7,27
features/integration/cross-module-auth.feature,6,24
features/integration/module-federation.feature,7,32
features/integration/real-time-sync.feature,6,25
features/admin/employee-management.feature,20,111
features/admin/employee-workload.feature,4,20
features/admin/forecast-building.feature,26,108
features/admin/absenteeism-calculation.feature,8,43
features/admin/reports-management.feature,36,162
features/admin/schedule-management.feature,31,144
features/admin/shift-management.feature,15,83
features/admin/trend-analysis.feature,27,118
features/admin/time-tracking.feature,7,41
features/admin/schema-management.feature,14,71
features/admin/exception-management.feature,14,57
features/admin/request-management.feature,29,130
features/user/shift-marketplace.feature,11,46
features/user/personal-dashboard.feature,6,22
features/user/schedule-management.feature,6,27
features/user/exchange-chat.feature,10,39
features/user/attendance-calendar.feature,9,39
features/user/user-profile.feature,10,38
features/user/request-workflows.feature,10,43
features/shared/data-grid.feature,11,49
features/shared/navigation.feature,8,31
features/shared/authentication.feature,7,33
